"","Date","Q","Julian","Month","Day","DecYear","MonthSeq","waterYear","i","LogQ","Q7","Q30","yHat","SE","ConcDay","FluxDay","FNConc","FNFlux"
"1096",1967-10-01,0.368119002792806,43006,10,275,1967.74931506849,1414,1968,1096,-0.999349015933966,0.283168463686774,0.515932940837301,-2.07366796899321,0.740151833309932,NA,NA,NA,NA
"1097",1967-10-02,0.27467340977617,43007,10,276,1967.75205479452,1414,1968,1097,-1.29217248788617,0.27386435702278,0.520746804719977,-2.09881296767761,0.739794224482747,NA,NA,NA,NA
"1098",1967-10-03,0.218039717038816,43008,10,277,1967.75479452055,1414,1968,1098,-1.52307804453586,0.265773829488872,0.524050436796322,-2.1182908641335,0.73929747208135,NA,NA,NA,NA
"1099",1967-10-04,0.184059501396403,43009,10,278,1967.75753424658,1414,1968,1099,-1.69249619649391,0.254447090941401,0.525938226554234,-2.12901578011694,0.73962656456487,NA,NA,NA,NA
"1100",1967-10-05,0.164237708938329,43010,10,279,1967.7602739726,1414,1968,1100,-1.80644045584313,0.242715826017234,0.527826016312146,-2.13704056506807,0.739636497481169,NA,NA,NA,NA
"1101",1967-10-06,0.622970620110902,43011,10,280,1967.76301369863,1414,1968,1101,-0.473255920037187,0.300563097884675,0.545571240036517,-2.06336552189985,0.736588925090742,NA,NA,NA,NA
"1102",1967-10-07,0.991089622903707,43012,10,281,1967.76575342466,1414,1968,1102,-0.0089503119060887,0.403312797565305,0.575587097187315,-2.01928250317157,0.738189178681939,NA,NA,NA,NA
"1103",1967-10-08,6.56950835753315,43013,10,282,1967.76849315068,1414,1968,1103,1.88243899827081,1.28922556252821,0.792022192931905,-1.77226173919213,0.740200931231087,NA,NA,NA,NA
"1104",1967-10-09,7.22079582401273,43014,10,283,1967.77123287671,1414,1968,1104,1.97696517176292,2.281528764562,1.03026126038038,-1.76486256005552,0.738700834808818,NA,NA,NA,NA
"1105",1967-10-10,3.17148679329186,43015,10,284,1967.77397260274,1414,1968,1105,1.15420049789959,2.7034497754553,1.13371213911395,-1.89339938729576,0.740870283836487,NA,NA,NA,NA
"1106",1967-10-11,1.55742655027725,43016,10,285,1967.77671232877,1414,1968,1106,0.443034811836969,2.89964506815256,1.18336100974703,-1.99551047651785,0.737666066900532,NA,NA,NA,NA
"1107",1967-10-12,0.934455930166353,43017,10,286,1967.77945205479,1414,1968,1107,-0.0677908119290222,3.00967624261371,1.21290491945835,-2.05365441325679,0.734502912177865,NA,NA,NA,NA
"1108",1967-10-13,0.679604312848257,43018,10,287,1967.78219178082,1414,1968,1108,-0.386244543047557,3.01776677014761,1.23385938577117,-2.09146542650493,0.732281360573904,NA,NA,NA,NA
"1109",1967-10-14,0.566336927373547,43019,10,288,1967.78493150685,1414,1968,1109,-0.568566099841511,2.95708781364331,1.24848975639498,-2.11282631370018,0.730977776492429,NA,NA,NA,NA
"1110",1967-10-15,1.61406024301461,43020,10,289,1967.78767123288,1414,1968,1110,0.478752894439048,2.24916665442637,1.27208712836888,-2.0162344810123,0.735099778557975,NA,NA,NA,NA
"1111",1967-10-16,8.46673706423453,43021,10,290,1967.7904109589,1414,1968,1111,2.13614519999518,2.42715826017234,1.52316316617115,-1.79290844951836,0.732642002045585,NA,NA,NA,NA
"1112",1967-10-17,11.7231743966324,43022,10,291,1967.79315068493,1414,1968,1112,2.46156760042981,3.64882791779242,1.88750658944814,-1.7522640282816,0.729222603465104,NA,NA,NA,NA
"1113",1967-10-18,4.21921010893293,43023,10,292,1967.79589041096,1414,1968,1113,1.43964793254996,4.02908271188609,2.00926902883345,-1.90934600264457,0.736349867674375,NA,NA,NA,NA
"1114",1967-10-19,2.23703086312551,43024,10,293,1967.79863013699,1414,1968,1114,0.805149479071519,4.21516484516597,2.07156609084454,-1.99873266061761,0.73349569150631,NA,NA,NA,NA
"1115",1967-10-20,1.47247601117122,43025,10,294,1967.80136986301,1414,1968,1115,0.386945345185925,4.32843223064068,2.09233177818157,-2.05545007962769,0.731236673126712,NA,NA,NA,NA
"1116",1967-10-21,1.04772331564106,43026,10,295,1967.80410958904,1414,1968,1116,0.0466195392487221,4.3972017146789,1.94319638730654,-2.09349829217002,0.728931684165993,NA,NA,NA,NA
"1117",1967-10-22,0.792871698322966,43027,10,296,1967.80684931507,1414,1968,1117,-0.232093863220298,4.27988906543723,1.92715017436429,-2.12520929878323,0.726926277434429,NA,NA,NA,NA
"1118",1967-10-23,0.622970620110902,43028,10,297,1967.8095890411,1414,1968,1118,-0.473255920037187,3.159351001991,1.92715017436429,-2.15296652297991,0.725104499826063,NA,NA,NA,NA
"1119",1967-10-24,0.622970620110902,43029,10,298,1967.81232876712,1414,1968,1119,-0.473255920037187,1.57360760534507,1.93186964875906,-2.15823717010219,0.724428945398739,NA,NA,NA,NA
"1120",1967-10-25,5.04039865362457,43030,10,299,1967.81506849315,1414,1968,1120,1.61748517689658,1.69092025458673,2.08855619866575,-1.93025605950229,0.730978251216453,NA,NA,NA,NA
"1121",1967-10-26,7.5039642876995,43031,10,300,1967.81780821918,1414,1968,1121,2.01543145259072,2.44333931524016,2.32953256126319,-1.87767875630266,0.727099182962342,NA,NA,NA,NA
"1122",1967-10-27,6.28633989384637,43032,10,301,1967.82054794521,1414,1968,1122,1.83837900847678,3.13103415562232,2.53029900201711,-1.90602789159464,0.727972192671071,NA,NA,NA,NA
